ImagePath,Genre
data\action\SniperEliteV2\N203043_128.jpg,action
data\action\MaxPayne2\N020448_97.jpg,action
data\action\Dishonored2\N014918_125.jpg,action
data\action\DarkMessiahOfMightAndMagic\N234856_86.jpg,action
data\action\Outriders\N161314_90.jpg,action
data\action\Hitman\N004516_87.jpg,action
data\action\DishonoredDeathOTheOutsider\N015052_84.jpg,action
data\action\MaxPayne3\N021544_131.jpg,action
data\action\Dishonored2\N014708_114.jpg,action
data\action\TheLastOfUsRemastered\N093609_138.jpg,action
data\action\Thief\N094613_94.jpg,action
data\action\TheBureauXCOMDeclassified\N002234_127.jpg,action
data\action\Mafia2\N014937_90.jpg,action
data\action\DeadIslandRiptide\N001313_121.jpg,action
data\action\GodOfWar\N231629_113.jpg,action
data\action\TheBureauXCOMDeclassified\N002700_86.jpg,action
data\action\Thief\N095051_125.jpg,action
data\action\Mafia2\N015043_120.jpg,action
data\action\Dishonored2\N014836_123.jpg,action
data\action\Dishonored2\N014916_122.jpg,action
data\action\SpecOpsTheLine\N230605_128.jpg,action
data\action\Thief\N094401_87.jpg,action
data\action\MaxPayne2\N020446_95.jpg,action
data\action\DragonAgeInquisition\N023524_106.jpg,action
data\action\SniperEliteV2\N202813_138.jpg,action
data\action\TheBureauXCOMDeclassified\N002643_128.jpg,action
data\action\Dishonored2\N014655_96.jpg,action
data\action\Hitman\N004614_97.jpg,action
data\action\MaxPayne3\N020946_87.jpg,action
data\action\Thief\N095308_141.jpg,action
data\action\TheLastOfUsRemastered\N093556_119.jpg,action
data\action\Thief\N094624_110.jpg,action
data\action\MaxPayne2\N020806_138.jpg,action
data\action\Thief\N094841_123.jpg,action
data\action\TrineEnchantedEdition\N102141_113.jpg,action
data\action\Mafia2\N015622_128.jpg,action
data\action\SniperElite3\N201727_100.jpg,action
data\action\DishonoredDeathOTheOutsider\N015145_96.jpg,action
data\action\MarvelsSpidermanRemastered\N015915_84.jpg,action
data\action\DragonAgeInquisition\N023621_126.jpg,action
